,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
757,Residential Plot,AGIRIPALLI,3.49,0,East,388 / sq ft,New,0
758,Residential Plot,Kankipadu,16.5,0,East,"1,104 / sq ft",New,0
759,Residential Plot,Kankipadu,5.99,0,East,444 / sq ft,New,0
760,Residential Plot,Edupugallu,35.89,0,West,"2,055 / sq ft",New,0
761,Residential Plot,Edupugallu,35.89,0,East,"2,055 / sq ft",New,0
762,Residential Plot,Edupugallu,37.18,0,East,"2,055 / sq ft",New,0
763,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
764,Residential Plot,Edupugallu,42.92,0,Unknown,"2,055 / sq ft",New,0
765,Residential Plot,Edupugallu,33.85,0,East,"2,055 / sq ft",New,0
766,Residential Plot,Edupugallu,37.37,0,Unknown,"2,055 / sq ft",New,0
767,Residential Plot,Edupugallu,71.59,0,Unknown,"3,842 / sq ft",New,0
768,Residential Plot,Gudavalli,25.75,0,Unknown,"15,900 / sq ft",New,0
769,Residential Plot,Edupugallu,33.48,0,West,"2,000 / sq ft",New,0
770,Residential Plot,Edupugallu,35.89,0,Unknown,"2,045 / sq ft",New,0
771,Residential Plot,Gudavalli,31.51,0,SouthWest,"1,833 / sq ft",New,0
772,Residential Plot,Edupugallu,37.98,0,Unknown,"2,000 / sq ft",New,0
773,Residential Plot,Edupugallu,34.92,0,West,"2,000 / sq ft",New,0
774,Residential Plot,Benz Circle,33.85,0,East,"2,055 / sq ft",New,0
775,Residential Plot,Benz Circle,42.84,0,Unknown,"2,000 / sq ft",New,0
776,Residential Plot,Gosala,16.33,0,West,"1,524 / sq ft",New,0
777,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
778,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
779,Residential Plot,Gosala,20.47,0,NorthWest,"7,336 / sq ft",New,0
780,Residential Plot,Gosala,16.33,0,West,"1,277 / sq ft",New,0
781,Residential Plot,Gosala,21.36,0,East,"1,333 / sq ft",New,0
782,Residential Plot,Gosala,17.04,0,East,"1,333 / sq ft",New,0
783,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
784,Residential Plot,Gosala,19.56,0,East,"1,341 / sq ft",New,0
785,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
786,Residential Plot,Gosala,15.98,0,West,"1,277 / sq ft",New,0
787,Residential Plot,Gosala,16.1,0,West,"1,277 / sq ft",New,0
788,Residential Plot,Gosala,170.0,0,East,"13,333 / sq ft",New,0
789,Residential Plot,Gosala,20.04,0,Unknown,"1,333 / sq ft",New,0
790,Residential Plot,Gosala,19.44,0,Unknown,"1,333 / sq ft",New,0
791,Residential Plot,Edupugallu,23.64,0,East,"1,333 / sq ft",New,0
792,Residential Plot,Edupugallu,22.32,0,Unknown,"1,333 / sq ft",New,0
793,Residential Plot,Edupugallu,32.4,0,East,"1,333 / sq ft",New,0
794,Residential Plot,Gosala,17.04,0,Unknown,"1,333 / sq ft",New,0
795,Residential Plot,Edupugallu,19.2,0,West,"1,333 / sq ft",New,0
796,Residential Plot,Gudavalli,33.85,0,East,"2,055 / sq ft",New,0
797,Residential Plot,Edupugallu,108.0,0,East,"1,333 / sq ft",New,0
798,Residential Plot,Edupugallu,163.0,0,East,"1,333 / sq ft",New,0
799,Residential Plot,Gudavalli,32.94,0,West,"2,000 / sq ft",New,0
800,Residential Plot,Edupugallu,26.88,0,West,"1,333 / sq ft",New,0
801,Residential Plot,Edupugallu,27.12,0,West,"1,132 / sq ft",New,0
802,Residential Plot,Edupugallu,26.22,0,West,"1,277 / sq ft",New,0
803,Residential Plot,Edupugallu,244.0,0,Unknown,"2,000 / sq ft",New,0
804,Residential Plot,Edupugallu,27.96,0,West,"1,333 / sq ft",New,0
805,Residential Plot,Edupugallu,28.56,0,West,"1,333 / sq ft",New,0
806,Residential Plot,Edupugallu,28.92,0,West,"1,333 / sq ft",New,0
807,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
808,Residential Plot,Edupugallu,50.4,0,East,"2,000 / sq ft",New,0
809,Residential Plot,Edupugallu,49.95,0,East,"2,055 / sq ft",New,0
810,Residential Plot,Edupugallu,40.14,0,East,"2,055 / sq ft",New,0
811,Residential Plot,Edupugallu,60.48,0,Unknown,"2,000 / sq ft",New,0
812,Residential Plot,Edupugallu,37.18,0,East,"2,055 / sq ft",New,0
813,Residential Plot,Edupugallu,17.82,0,West,"2,000 / sq ft",New,0
814,Residential Plot,Edupugallu,44.03,0,Unknown,"2,055 / sq ft",New,0
815,Residential Plot,Edupugallu,83.8,0,East,"2,055 / sq ft",New,0
816,Residential Plot,Edupugallu,40.14,0,East,"2,055 / sq ft",New,0
817,Residential Plot,Edupugallu,82.14,0,East,"2,055 / sq ft",New,0
818,Residential Plot,Edupugallu,42.92,0,East,"2,055 / sq ft",New,0
819,Residential Plot,Edupugallu,31.32,0,West,"2,000 / sq ft",New,0
820,Residential Plot,Kankipadu,27.3,0,East,"1,622 / sq ft",New,0
821,Residential Plot,Edupugallu,30.85,0,East,"1,833 / sq ft",New,0
822,Residential Plot,Gollapudi1,22.5,0,Unknown,"1,666 / sq ft",New,0
823,Residential Plot,Penamaluru,24.99,0,East,"1,851 / sq ft",New,0
824,Residential Plot,Gudavalli,25.75,0,Unknown,"15,900 / sq ft",New,0
825,Residential Plot,Edupugallu,33.48,0,West,"2,000 / sq ft",New,0
826,Residential Plot,Edupugallu,35.89,0,Unknown,"2,045 / sq ft",New,0
827,Residential Plot,Gudavalli,31.51,0,SouthWest,"1,833 / sq ft",New,0
828,Residential Plot,Edupugallu,37.98,0,Unknown,"2,000 / sq ft",New,0
829,Residential Plot,Edupugallu,34.92,0,West,"2,000 / sq ft",New,0
830,Residential Plot,Benz Circle,33.85,0,East,"2,055 / sq ft",New,0
831,Residential Plot,Benz Circle,42.84,0,Unknown,"2,000 / sq ft",New,0
832,Residential Plot,Kankipadu,22.92,0,East,"1,622 / sq ft",New,0
833,Residential Plot,Edupugallu,56.79,0,East,"2,055 / sq ft",New,0
834,Residential Plot,Gudavalli,35.35,0,East,"1,944 / sq ft",New,0
835,Residential Plot,Edupugallu,35.35,0,East,"1,944 / sq ft",New,0
836,Residential Plot,Gudavalli,31.51,0,Unknown,"1,833 / sq ft",New,0
837,Residential Plot,Edupugallu,38.15,0,East,"1,944 / sq ft",New,0
838,Residential Plot,Edupugallu,31.35,0,West,"1,833 / sq ft",New,0
839,Residential Plot,Gudavalli,30.1,0,East,"1,944 / sq ft",New,0
840,Residential Plot,Edupugallu,27.9,0,Unknown,"2,000 / sq ft",New,0
841,Residential Plot,Edupugallu,35.89,0,West,"2,055 / sq ft",New,0
842,Residential Plot,Edupugallu,32.0,0,Unknown,"1,832 / sq ft",New,0
843,Residential Plot,Gollapudi1,16.29,0,East,"1,207 / sq ft",New,0
844,Apartment,Ayyappa Nagar,69.0,2,Unknown,"4,509 / sq ft",Ready to move,3
845,Apartment,Gannavaram,28.0,2,Unknown,"2,488 / sq ft",Ready to move,2
846,Apartment,Gannavaram,29.0,2,Unknown,"2,815 / sq ft",Ready to move,2
847,Apartment,Gollapudi,61.36,2,Unknown,"4,000 / sq ft",Ready to move,2
848,Apartment,Gollapudi1,60.0,3,Unknown,"4,000 / sq ft",Ready to move,3
849,Apartment,Kesarapalli,43.85,20222,Unknown,"4,200 / sq ft",Under Construction,2
850,Apartment,Gollapudi,50.0,2,Unknown,"4,000 / sq ft",Ready to move,2
851,Apartment,Patamata,37.0,2,Unknown,"4,512 / sq ft",Ready to move,2
852,Apartment,Gannavaram,100.0,3,Unknown,"4,115 / sq ft",Ready to move,4
853,Apartment,Gannavaram,55.0,3,Unknown,"3,199 / sq ft",Ready to move,3
854,Apartment,Gannavaram,40.0,2,Unknown,"3,292 / sq ft",Ready to move,2
855,Apartment,Gollapudi,45.0,1,Unknown,"6,097 / sq ft",Ready to move,1
856,Residential Plot,Kanchikacherla,5.0,0,Unknown,491 / sq ft,New,0
857,Residential Plot,Kanchikacherla,8.88,0,Unknown,667 / sq ft,New,0
858,Residential Plot,Kanchikacherla,13.0,0,Unknown,229 / sq ft,New,0
859,Residential Plot,Penamaluru,14.4,0,Unknown,"1,333 / sq ft",New,0
860,Residential Plot,Gosala,18.75,0,Unknown,"1,388 / sq ft",New,0
861,Residential Plot,Kanchikacherla,2.99,0,Unknown,294 / sq ft,New,0
862,Residential Plot,Gosala,19.98,0,Unknown,"1,377 / sq ft",New,0
863,Residential Plot,Kanchikacherla,5.0,0,Unknown,491 / sq ft,New,0
864,Residential Plot,Kanchikacherla,8.88,0,Unknown,667 / sq ft,New,0
865,Residential Plot,G Konduru,5.5,0,Unknown,252 / sq ft,New,0
866,Residential Plot,MylavaramKuntamukkalaVellaturuVijayawada Road,4.99,0,Unknown,555 / sq ft,New,0
867,Residential Plot,Edupugallu,32.94,0,North,"2,000 / sq ft",New,0
868,Residential Plot,Gudavalli,28.62,0,Unknown,"1,766 / sq ft",New,0
869,Residential Plot,Edupugallu,44.03,0,East,"2,055 / sq ft",New,0
870,Residential Plot,Edupugallu,81.03,0,East,"2,055 / sq ft",New,0
871,Residential Plot,Edupugallu,66.04,0,Unknown,"2,055 / sq ft",New,0
872,Residential Plot,Nuzvid Road,26.0,0,East,130 / sq ft,Resale,0
873,Residential Plot,Penamaluru,17.5,0,Unknown,"1,287 / sq ft",New,0
874,Residential Plot,Edupugallu,26.51,0,NorthWest,"1,332 / sq ft",New,0
875,Residential Plot,Edupugallu,108.0,0,North,"1,333 / sq ft",New,0
876,Residential Plot,Edupugallu,163.0,0,West,"1,333 / sq ft",New,0
877,Residential Plot,Edupugallu,54.36,0,East,"1,333 / sq ft",New,0
878,Residential Plot,Edupugallu,53.28,0,Unknown,"1,333 / sq ft",New,0
879,Residential Plot,Edupugallu,44.88,0,NorthEast,"1,333 / sq ft",New,0
880,Residential Plot,Edupugallu,50.37,0,NorthEast,"1,277 / sq ft",New,0
881,Residential Plot,Edupugallu,464.0,0,NorthEast,"13,333 / sq ft",New,0
882,Residential Plot,Edupugallu,22.68,0,SouthWest,"1,333 / sq ft",New,0
883,Residential Plot,Edupugallu,36.6,0,SouthEast,"1,333 / sq ft",New,0
884,Residential Plot,Edupugallu,35.4,0,SouthEast,"1,333 / sq ft",New,0
885,Residential Plot,Edupugallu,31.2,0,SouthEast,"1,333 / sq ft",New,0
886,Residential Plot,Edupugallu,25.32,0,SouthEast,"1,333 / sq ft",New,0
887,Residential Plot,Edupugallu,24.0,0,SouthEast,"1,333 / sq ft",New,0
888,Residential Plot,Edupugallu,58.92,0,Unknown,"12,000 / sq ft",New,0
889,Residential Plot,Edupugallu,44.52,0,NorthWest,"1,333 / sq ft",New,0
890,Residential Plot,Edupugallu,42.84,0,NorthWest,"1,333 / sq ft",New,0
891,Residential Plot,Edupugallu,42.24,0,NorthWest,"1,333 / sq ft",New,0
892,Residential Plot,Edupugallu,29.16,0,West,"2,000 / sq ft",New,0
893,Residential Plot,Edupugallu,28.8,0,West,"2,000 / sq ft",New,0
894,Residential Plot,Edupugallu,18.6,0,West,"1,333 / sq ft",New,0
895,Residential Plot,Edupugallu,35.16,0,SouthWest,"1,333 / sq ft",New,0
896,Residential Plot,Edupugallu,33.36,0,SouthWest,"1,333 / sq ft",New,0
897,Residential Plot,Edupugallu,24.96,0,SouthWest,"1,333 / sq ft",New,0
898,Residential Plot,Edupugallu,34.38,0,West,"2,000 / sq ft",New,0
899,Residential Plot,Edupugallu,34.2,0,West,"2,000 / sq ft",New,0
900,Residential Plot,Edupugallu,33.36,0,SouthWest,"1,333 / sq ft",New,0
901,Residential Plot,Edupugallu,24.96,0,SouthWest,"1,333 / sq ft",New,0
902,Residential Plot,Edupugallu,34.38,0,West,"2,000 / sq ft",New,0
903,Residential Plot,Edupugallu,34.2,0,West,"2,000 / sq ft",New,0
904,Residential Plot,Edupugallu,33.84,0,West,"2,000 / sq ft",New,0
905,Residential Plot,Edupugallu,32.94,0,West,"2,000 / sq ft",New,0
906,Residential Plot,Edupugallu,31.32,0,West,"2,000 / sq ft",New,0
907,Residential Plot,Edupugallu,31.14,0,West,"2,000 / sq ft",New,0
908,Residential Plot,Edupugallu,30.96,0,West,"2,000 / sq ft",New,0
909,Residential Plot,Edupugallu,29.34,0,West,"2,000 / sq ft",New,0
910,Residential Plot,Edupugallu,36.36,0,Unknown,"2,000 / sq ft",New,0
911,Residential Plot,Edupugallu,35.1,0,Unknown,"2,000 / sq ft",New,0
912,Residential Plot,Edupugallu,34.92,0,Unknown,"2,000 / sq ft",New,0
913,Residential Plot,Edupugallu,31.14,0,West,"2,000 / sq ft",New,0
914,Residential Plot,Gosala,19.98,0,Unknown,"1,377 / sq ft",New,0
915,Residential Plot,Kanchikacherla,5.0,0,Unknown,491 / sq ft,New,0
916,Residential Plot,Kanchikacherla,8.88,0,Unknown,667 / sq ft,New,0
917,Residential Plot,MylavaramKuntamukkalaVellaturuVijayawada Road,4.99,0,Unknown,555 / sq ft,New,0
918,Residential Plot,Gosala,18.75,0,Unknown,"1,388 / sq ft",New,0
919,Residential Plot,Edupugallu,37.37,0,West,"2,055 / sq ft",New,0
920,Residential Plot,Edupugallu,31.32,0,West,"2,000 / sq ft",New,0
921,Residential Plot,Edupugallu,31.14,0,West,"2,000 / sq ft",New,0
922,Residential Plot,Edupugallu,30.96,0,West,"2,000 / sq ft",New,0
923,Residential Plot,Edupugallu,29.34,0,West,"2,000 / sq ft",New,0
924,Residential Plot,Edupugallu,36.36,0,Unknown,"2,000 / sq ft",New,0
925,Residential Plot,Edupugallu,35.1,0,Unknown,"2,000 / sq ft",New,0
926,Residential Plot,Edupugallu,34.92,0,Unknown,"2,000 / sq ft",New,0
927,Residential Plot,Edupugallu,31.14,0,West,"2,000 / sq ft",New,0
928,Residential Plot,Edupugallu,37.37,0,West,"2,055 / sq ft",New,0
929,Residential Plot,Edupugallu,32.94,0,West,"2,000 / sq ft",New,0
930,Residential Plot,Edupugallu,35.89,0,East,"2,055 / sq ft",New,0
931,Residential Plot,Edupugallu,42.4,0,SouthWest,"2,222 / sq ft",New,0
932,Residential Plot,Nuzvid Road,26.0,0,East,130 / sq ft,Resale,0
933,Residential Plot,Gosala,18.75,0,Unknown,"1,388 / sq ft",New,0
934,Residential Plot,Kanigiri Gurunadham Street,2.5,0,East,"1,336 / sq ft",New,0
935,Residential Plot,Punadipadu,18.22,0,Unknown,"1,499 / sq ft",New,0
936,Residential Plot,G Konduru,4.5,0,Unknown,500 / sq ft,New,0
937,Residential Plot,Edupugallu,30.72,0,East,"1,777 / sq ft",Resale,0
938,Residential Plot,Kanuru,340.0,0,Unknown,"12,592 / sq ft",New,0
939,Residential Plot,Kanuru,300.0,0,Unknown,"4,230 / sq ft",New,0
940,Residential Plot,Gollapudi,134.0,0,Unknown,"4,444 / sq ft",New,0
941,Residential Plot,Ajit Singh Nagar,65.0,0,Unknown,"3,611 / sq ft",New,0
942,Residential Plot,Gannavaram,33.0,0,Unknown,"1,378 / sq ft",New,0
943,Residential Plot,Bhavanipuram,60.0,0,Unknown,"7,168 / sq ft",New,0
944,Residential Plot,MylavaramKuntamukkalaVellaturuVijayawada Road,170.0,0,Unknown,"1,864 / sq ft",New,0
945,Residential Plot,Mangalagiri,140.0,0,Unknown,"3,240 / sq ft",New,0
946,Residential Plot,Mangalagiri,76.0,0,Unknown,"2,326 / sq ft",New,0
947,Residential Plot,kunchanapalli,506.0,0,Unknown,"4,440 / sq ft",New,0
948,Residential Plot,krishnalanka,35.0,0,Unknown,"3,850 / sq ft",New,0
949,Residential Plot,LIC Colony,250.0,0,Unknown,"9,611 / sq ft",New,0
950,Residential Plot,Gollapudi,72.0,0,Unknown,"4,444 / sq ft",New,0
951,Residential Plot,Gollapudi,100.0,0,Unknown,"3,703 / sq ft",New,0
952,Residential Plot,chinnakakani,82.3,0,Unknown,"2,445 / sq ft",New,0
953,Residential Plot,Kankipadu,45.0,0,Unknown,"2,392 / sq ft",New,0
954,Residential Plot,Kankipadu,34.0,0,Unknown,"3,096 / sq ft",New,0
955,Residential Plot,Kankipadu,15.0,0,Unknown,617 / sq ft,New,0
956,Residential Plot,Patamata,84.0,0,Unknown,"8,408 / sq ft",New,0
957,Residential Plot,Poranki,270.0,0,Unknown,"2,816 / sq ft",New,0
958,Residential Plot,Patamata,173.0,0,Unknown,"10,738 / sq ft",New,0
959,Residential Plot,Patamata,257.0,0,Unknown,"10,816 / sq ft",New,0
960,Residential Plot,Andhra Prabha Colony Road,45.26,0,West,"3,444 / sq ft",Resale,0
961,Residential Plot,Devi Nagar,165.0,0,East,"4,129 / sq ft",Resale,0
962,Apartment,Gannavaram,90.0,4,Unknown,"4,090 / sq ft",Ready to move,4
963,Apartment,Machilipatnam,40.0,1,Unknown,"2,666 / sq ft",Ready to move,2
964,Apartment,Gollapudi,60.0,3,Unknown,"2,631 / sq ft",Ready to move,3
965,Apartment,Ibrahimpatnam,35.0,2,Unknown,"3,465 / sq ft",Ready to move,2
966,Independent House,Ibrahimpatnam,15.0,1,Unknown,"3,658 / sq ft",Ready to move,2
967,Apartment,Kesarapalli,43.67,2,Unknown,"3,450 / sq ft",Ready to move,2
968,Apartment,Currency Nagar,27.0,2,Unknown,"3,375 / sq ft",Ready to move,2
969,Apartment,Poranki,32.0,2,East,"4,000 / sq ft",Ready to move,2
970,Independent House,Gandhi Nagar,47.0,2,Unknown,"5,222 / sq ft",Ready to move,2
971,Villa,Gannavaram,26.5,2,Unknown,"2,789 / sq ft",Ready to move,2
972,Villa,Ramavarapadu,210.0,20223,Unknown,"6,117 / sq ft",Under Construction,3
973,Apartment,Gannavaram,30.0,2,Unknown,"3,000 / sq ft",Ready to move,2
974,Apartment,Telaprolu,38.5,2,Unknown,"2,986 / sq ft",Ready to move,2
975,Apartment,Kankipadu,52.0,3,Unknown,"3,466 / sq ft",Ready to move,3
976,Apartment,Ibrahimpatnam,29.0,2,Unknown,"2,320 / sq ft",Ready to move,2
977,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
978,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
979,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
980,Apartment,Gannavaram,30.0,2,Unknown,"3,000 / sq ft",Ready to move,2
981,Apartment,Telaprolu,38.5,2,Unknown,"2,986 / sq ft",Ready to move,2
982,Apartment,Kankipadu,52.0,3,Unknown,"3,466 / sq ft",Ready to move,3
983,Apartment,Ibrahimpatnam,29.0,2,Unknown,"2,320 / sq ft",Ready to move,2
984,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
985,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
986,Apartment,PNT Colony,45.0,2,Unknown,"3,750 / sq ft",Under Construction,2
987,Independent Floor,Nunna,60.5,3,Unknown,"4,840 / sq ft",Under Construction,3
988,Independent Floor,Poranki,55.0,2,Unknown,"6,875 / sq ft",Ready to move,2
989,Apartment,Guru Nanak Colony,124.0,20233,Unknown,"6,966 / sq ft",Under Construction,3
990,Apartment,Poranki,35.0,2,Unknown,"2,916 / sq ft",Ready to move,2
991,Apartment,Ramavarapadu Ring,62.0,2,Unknown,"4,960 / sq ft",Ready to move,2
992,Apartment,Mangalagiri,89.9,3,Unknown,"4,851 / sq ft",Ready to move,3
993,Independent Floor,Kanuru,110.0,3,East,"4,680 / sq ft",Under Construction,3
994,Residential Plot,G Konduru,4.5,0,East,500 / sq ft,New,0
995,Residential Plot,Rajarajeswari Peta,19.2,0,NorthWest,"1,777 / sq ft",Resale,0
996,Residential Plot,Edupugallu,40.0,0,Unknown,"1,777 / sq ft",Resale,0
997,Residential Plot,MylavaramKuntamukkalaVellaturuVijayawada Road,10.0,0,East,105 / sq ft,New,0
998,Residential Plot,Kanchikacherla,24.0,0,Unknown,"8,000 / sq ft",New,0
999,Residential Plot,Benz Circle,8.0,0,Unknown,"32,000 / sq ft",New,0
1000,Residential Plot,Rajarajeswari Peta,19.2,0,NorthWest,"1,777 / sq ft",Resale,0
1001,Residential Plot,Edupugallu,40.0,0,Unknown,"1,777 / sq ft",Resale,0
1002,Residential Plot,Auto Nagar,85.8,0,West,"4,205 / sq ft",Resale,0
1003,Residential Plot,Auto Nagar,85.8,0,West,"4,205 / sq ft",Resale,0
1004,Residential Plot,Auto Nagar,85.8,0,West,"4,205 / sq ft",Resale,0
1005,Residential Plot,Vidhyadharpuram,120.0,0,NorthWest,"6,410 / sq ft",Resale,0
1006,Residential Plot,Edupugallu,35.0,0,East,"2,125 / sq ft",Resale,0
1007,Residential Plot,Kankipadu,12.0,0,East,888 / sq ft,New,0
